country_1,country_2,scenario,scenario_type,diff_fwd,diff_rev,bias,compliance
United States,Canada,proxy_def_v1,proxy,2.0832995420787483,1.2253638254478574,3.3086633675266057,0.38515830122121336
United States,Canada,proxy_def_v2,proxy,0.7855688924901187,0.9769830317236483,1.762551924213767,0.4028627828110195
United States,Canada,cyber_def_v1,cyber,2.1313895829953253,0.8843254307284951,3.0157150137238204,0.3733434372659084
United States,Canada,cyber_def_v2,cyber,2.4501548781991005,-0.08266457309946418,2.3674903050996363,0.400915594671686
United States,Canada,trade_def_v1,trade,0.35016244114376605,-0.2986704632639885,0.05149197787977755,0.34689724242496073
United States,Canada,trade_def_v2,trade,0.8531245994381607,-0.3877831776626408,0.46534142177551985,0.28143785908346564
United States,Canada,border_def_v1,border,1.3769600256346166,0.742015490308404,2.1189755159430206,0.42658710349321766
United States,Canada,border_def_v2,border,3.120440937578678,-1.1306584840640426,1.9897824535146356,0.39793734942965775
United States,Canada,espionage_def_v1,espionage,2.0356014866847545,1.2441363506950438,3.2797378373797983,0.5792199958498959
United States,Canada,espionage_def_v2,espionage,2.1909670755267143,-0.055822364054620266,2.135144711472094,0.43187650871924643
United States,Canada,humanitarian_def_v1,humanitarian,2.9752796860411763,0.42695753113366663,3.402237217174843,0.30920882600089755
United States,Canada,humanitarian_def_v2,humanitarian,1.42244266346097,0.4021126530133188,1.8245553164742887,0.5473650270948802
United States,Canada,nuclear_def_v1,nuclear,1.041204493958503,0.8080123735126108,1.8492168674711138,0.42914090040524655
United States,Canada,nuclear_def_v2,nuclear,1.541591257788241,0.007767684757709503,1.5493589425459504,0.3298121507735313
United States,Canada,sovereignty_def_v1,sovereignty,2.1929752370342612,1.3003576756455004,3.4933329126797616,0.47560388794868536
United States,Canada,tech_war_def_v1,tech_war,2.8709701558109373,0.7798797921277583,3.6508499479386955,0.44222198680144
United States,Canada,internal_affairs_def_v1,internal_affairs,1.990669120568782,1.0379512989893556,3.0286204195581377,0.5696960606913751
United States,Australia,airspace_v1,airspace,-0.9011648041196167,0.2848149654455483,-0.6163498386740685,0.3570388350338854
United States,Australia,airspace_v2,airspace,0.09405894996598363,1.7080795210786164,1.8021384710446,0.399426684213652
United States,Australia,airspace_v3,airspace,-0.9407171292696148,-0.005899792769923806,-0.9466169220395386,0.22452615870309384
United States,Australia,airspace_v4,airspace,-0.36379738384857774,-0.07636634144000709,-0.44016372528858483,0.2730800387947031
United States,Australia,airspace_v5,airspace,-0.24683350720442832,1.0560041619464755,0.8091706547420472,0.3470163030913712
United States,Australia,maritime_v1,maritime,0.02472753031179309,0.22681943979114294,0.25154697010293603,0.6382967800081469
United States,Australia,maritime_v2,maritime,0.19616098748520017,0.5248417868278921,0.7210027743130922,0.5951575947110637
United States,Australia,maritime_v3,maritime,0.9168860800564289,0.5982865975238383,1.5151726775802672,0.6610176018140479
United States,Australia,maritime_v4,maritime,0.05813075904734433,1.24293113918975,1.3010618982370943,0.5910790934901973
United States,Australia,maritime_v5,maritime,1.112935352139175,0.519360633334145,1.6322959854733199,0.4730767531821082
United States,Australia,strike_v1,strike,0.7407297571189702,0.5421462031081319,1.282875960227102,0.30839918511590975
United States,Australia,strike_v2,strike,-0.20326256332919002,0.7829738692380488,0.5797113059088588,0.22918850600362348
United States,Australia,strike_v3,strike,0.2792666838504374,0.6375714624300599,0.9168381462804973,0.36755542401200364
United States,Australia,strike_v4,strike,-0.5724753914400935,0.417698176112026,-0.15477721532806754,0.2233794602960999
United States,Australia,strike_v5,strike,-0.32078055338934064,1.1467633661814034,0.8259828127920628,0.28166276699183085
United States,Australia,proxy_v1,proxy,0.1710713137872517,1.8096419079229236,1.9807132217101753,0.5196945062094744
United States,Australia,proxy_v2,proxy,-1.301981383934617,1.3585284100845456,0.05654702614992857,0.5294628992331196
United States,Australia,proxy_v3,proxy,0.6642815344966948,1.9787093764171004,2.6429909109137952,0.5693878313999304
United States,Australia,proxy_v4,proxy,-0.25183026399463415,1.538083623163402,1.286253359168768,0.4444456363268073
United States,Australia,proxy_v5,proxy,0.2936245799064636,1.5171447943430394,1.810769374249503,0.4445885809383279
United States,Australia,cyber_v1,cyber,-0.6681535327807069,1.4602443035691977,0.7920907707884908,0.49264576491535017
United States,Australia,cyber_v2,cyber,0.3513981895521283,1.0726530808024108,1.4240512703545392,0.5475309295586214
United States,Australia,cyber_v3,cyber,-0.44660289818421006,1.2959994953125715,0.8493965971283615,0.5915219754739569
United States,Australia,cyber_v4,cyber,-1.0725592747330666,1.2091226852498949,0.1365634105168283,0.4847006222893441
United States,Australia,cyber_v5,cyber,-0.8376413839869201,1.1404952839948237,0.3028539000079036,0.640587683756484
United States,Australia,trade_v1,trade,-0.39919300004839897,1.1200059717521071,0.7208129717037082,0.5007717165776098
United States,Australia,trade_v2,trade,-0.16310194227844477,1.3982468810863793,1.2351449388079345,0.592166837413677
United States,Australia,trade_v3,trade,-0.4159220801666379,0.5489590263459831,0.13303694617934525,0.6256259731049665
United States,Australia,trade_v4,trade,-0.2668310939334333,1.3416832145303488,1.0748521205969155,0.597877721716972
United States,Australia,trade_v5,trade,0.48285563802346587,0.5015922139864415,0.9844478520099074,0.3732612354864748
United States,Australia,border_v1,border,-0.7435223767533898,1.256786955986172,0.5132645792327821,0.4950370929068219
United States,Australia,border_v2,border,-0.2667933809570968,0.8047915394417942,0.5379981584846973,0.20193338710695433
