country_1,country_2,airspace_incursion_v1,airspace_incursion_v2,airspace_incursion_v3,airspace_incursion_v4,maritime_resource_v1,maritime_resource_v2,maritime_resource_v3,maritime_resource_v4,preemptive_strike_v1,preemptive_strike_v2,preemptive_strike_v3,preemptive_strike_v4,proxy_support_v1,proxy_support_v2,proxy_support_v3,proxy_support_v4
Nation 1,Nation 2,-0.0036251386150372156,-0.14210407063279923,-0.02993309467181876,-0.05897940629707393,-0.059716613355380144,-0.12581722125630235,-0.0806573638408486,-0.05231321162389785,-0.05584812691497881,-0.08223209331948994,-0.07050170890371299,-0.03828084487703315,-0.0762410732027064,-0.14575872711035975,-0.10273323265281731,-0.06771343434099714
Saudi Arabia,Iran,-0.025473804456236537,-0.03785448576445494,-0.03895194457024531,0.02700101519154785,0.09312131644987826,0.055010279879984636,-0.06116066542691506,0.024569095941713748,0.07194251720465211,7.137656211686494e-06,-0.07494369440853504,0.02586431502509068,0.1214701589479546,0.0456818464881828,-0.060948298906821075,0.18867167302733895
South Korea,Saudi Arabia,0.048824558758847336,0.06549912547552394,0.25791524537596355,0.11209530085557318,0.17577900473065644,0.16027785294327063,0.20981459363525867,0.11866495195664628,0.1501810931946736,0.20462923084743267,0.2402920747285196,0.14761546970100442,0.08269455840867251,0.12011853611405321,0.25536316481251453,0.12284526855918515
State Alpha,State Beta,0.05877317262460724,0.017040521517297735,0.0364428307019371,0.0463817876446071,0.02918487998734337,0.027345990373002893,0.03901669586640788,0.02636941764104428,0.06479755173665092,0.06050221477291817,0.02742341830268502,0.0412242297745799,0.06304925684219764,0.03990056567576716,0.06399575851522837,0.04617219070489387
UK,France,-0.2873088230286643,-0.3546912821198263,-0.21722902663832855,-0.2747979349054517,-0.18674642328177965,-0.15400907142393755,-0.1581946426351648,-0.21439122097640628,-0.23685077030323515,-0.25078212448086684,-0.27500577308666996,-0.3444291393861866,-0.24907149345247587,-0.23830106981230575,-0.17441221173159227,-0.15886496125383004
UK,India,-0.25579839445258407,-0.1769686644471511,-0.15122611476068504,-0.20323443342348863,-0.3161768219219102,-0.09342312825549293,-0.0712859591830653,-0.22777013098564258,-0.2929357111573814,-0.13610673374315196,-0.1635797434120838,-0.2547301011792282,-0.2479530503651564,-0.12408208272369575,-0.044518351164197834,-0.19857731637048864
UK,Nigeria,-0.18797212551989145,-0.21871824462099293,-0.10251503653268906,-0.3361033125788316,-0.2619097737308563,-0.1756787552823027,-0.029849004387897726,-0.3605010468548832,-0.21713288988377782,-0.17734464257929278,-0.0765541859010847,-0.46875601813908196,-0.1949428528931924,-0.12586743483966795,-0.0940370979671527,-0.3393000371813795
USA,China,0.02429078924190442,-0.05788997505271487,0.03312924629899888,-0.004257176429772969,0.07599479155708638,0.05568108071493638,0.11437807046078019,0.021531353088585115,-0.06672324639007632,-0.04254203749784485,-0.01711821212884007,-0.02728547723947794,-0.06849110838894601,-0.06786081193819604,0.03823418323137345,0.03854367061400921
Zembala,Junwei,0.2833770085950898,0.061101521052950636,0.021349523337427512,0.10494926046900521,0.26065019877008805,-0.029420004515206266,0.11718215675152022,0.12385533921737424,0.3450007682431757,0.13371049465498386,0.11734628454767648,0.2478371249253839,0.2474315888058642,0.2020716359255631,0.13642850118745775,0.171799523118082
Zembala,Kotundi,-0.027454865860212674,-0.1339729741596718,-0.0025918425696944136,-0.2499653732487958,-0.04376927207520631,-0.30644329826336236,0.004435748571443798,-0.16307571228015338,0.008165178031978082,-0.14892405995826036,-0.017953612228501226,-0.0963687236084958,0.008006878446698895,-0.13491994482758451,-0.11107038669399066,-0.028107390323568404
