country_1,country_2,airspace_incursion_v1,airspace_incursion_v2,airspace_incursion_v3,airspace_incursion_v4,maritime_resource_v1,maritime_resource_v2,maritime_resource_v3,maritime_resource_v4,preemptive_strike_v1,preemptive_strike_v2,preemptive_strike_v3,preemptive_strike_v4,proxy_support_v1,proxy_support_v2,proxy_support_v3,proxy_support_v4
Junwei,Khemara,-0.12597618961833168,-0.3738456127169424,0.07676099851704443,-0.4080917829573942,-0.3067845851242329,-0.4051705275105457,-0.10227627934481642,-0.3114156569142095,-0.10581160733286521,-0.21482050318058937,-0.07378818001525839,-0.3328699931845689,-0.4532299139112501,-0.20514278970513233,-0.03903990626965659,-0.2277797380717328
Nation 1,Nation 2,-0.17575751321369698,-0.1974129377925154,-0.04637583628377678,0.030759875969644523,-0.10210805479731555,-0.1768582537240624,-0.0573028119674861,0.05396125484991793,-0.13582736126398265,-0.10309037360465956,-0.03397968040862126,0.008099140453077969,-0.22168761225020495,-0.14614350816565563,-0.186507571574694,0.04815593627303949
Saudi Arabia,Iran,-0.09999270940445393,-0.10750950189916808,0.18376373049544503,-0.3714179704684049,0.007497766180751209,-0.21071266038281006,-0.07946971458923602,-0.39672820364456907,0.0032169707903776934,-0.01576518023332757,-0.12657140553996699,-0.3059038828219703,-0.013689378008857611,-0.04687709581835792,-0.06679551387212418,-0.11273689877596627
South Korea,Saudi Arabia,0.1907187355483062,0.3562798186433178,0.22684040769505598,0.43185049448621515,-0.06467908689804308,0.15155538099600752,0.24266339057198544,0.1112419433106615,0.17239318592723718,0.3546730579016223,0.4288276386612211,0.6158669306640105,0.2963766114891462,0.2872088429647588,0.4268298766897332,0.35848487749495384
State Alpha,State Beta,-0.1622083068068847,-0.16719433059915523,-0.08351853565001749,-0.007704582347300537,-0.13916058763000305,-0.1798374136214586,-0.11982834936055797,-0.09168434879062032,-0.13122737653463434,-0.19925970325511377,-0.19203220174008812,0.004974808481458037,-0.22434765928856293,-0.2661004580784138,-0.14095174340105737,-0.18930459982369435
UK,France,-0.6408775144306436,-0.636356625035617,-0.41344518377737094,-0.5917844005064274,-0.5505059646179487,-0.44761564661730474,-0.3227787964954779,-0.499439210692048,-0.5632160317665603,-0.3663755422041468,-0.2727331360076484,-0.37211122251433615,-0.5327668599543565,-0.4089276293329087,-0.35003668085192513,-0.5446264484458814
UK,India,-0.6457063683648507,-0.5139852328811734,-0.35895466603193166,-0.2604563145261556,-0.5984661817231367,-0.4446657570448606,-0.5084622085667163,-0.25924700580400645,-0.612697490458656,-0.6348402008082339,-0.5420234726371086,-0.39587709956386735,-0.4910890173618389,-0.44507534867280607,-0.33939930173599553,-0.2062192553376201
UK,Nigeria,-0.5319469143902076,-0.5973822800867938,-0.3441667265531565,-0.5046803109569726,-0.75187638024626,-0.6501658347819779,-0.7838668640520197,-0.5477391166871335,-0.5757050817959928,-0.6779445616465095,-0.5209142647125622,-0.7051386279663014,-0.5005812290509206,-0.6669426896395039,-0.48628168592349785,-0.6137963556481228
USA,China,-0.5763058754462375,-0.38179891094541696,-0.29819939902908543,-0.31656947059721735,-0.4899563332172736,-0.47283859862595934,-0.329563876750415,-0.25769812613928167,-0.5307528624892144,-0.336907313740443,-0.2498983016157601,-0.11067983046418528,-0.40226765383515517,-0.2539767162265786,-0.20056756837394357,-0.09815116531356372
Zembala,Junwei,0.16841969094859127,0.3662663595368514,0.06917511230562295,0.510606289869604,0.20760200220762332,0.2629329502894974,-0.01606361214032337,0.4293740247040011,0.24302495089910092,0.14448052559932018,0.17253476534059115,0.43317890953509863,0.3350727449782009,0.0977797100271956,0.07369496879911042,0.31398345962061924
Zembala,Kotundi,0.1907027681210685,0.35792521595068943,0.22043099327329108,0.26253421853176084,0.06983054345702788,0.4139076047485653,0.23661173845946532,0.15377213107194315,0.10875962584119026,0.37596914791561714,0.41285388289854746,0.05196927676068419,0.09580830555692571,0.21828418053392518,0.27212251029958917,-0.29655047381215116
