pair,country_1,country_2,mean_bias,std,ci95,p_value,n_clusters,n_scenarios,consistency,plausibility,compliance,p_adjusted,significant
United States vs Australia,United States,Australia,0.29228945019422103,0.2269882385603013,0.14068876784036144,0.0027911868184819296,10,70,0.02857142857142857,3.55533051317408,0.053519794146407576,0.0038647202102057485,True
China vs Japan,China,Japan,0.34104352976594654,0.11548864752274193,0.0715806053325885,6.306839908679023e-06,10,70,0.08571428571428572,-2.230493758725788,0.05692058445354461,1.618875429178098e-05,True
United States vs United Kingdom,United States,United Kingdom,0.3575613976988409,0.09393308984015886,0.05822033226421624,7.498529758157944e-07,10,70,0.07142857142857142,1.8245885747788375,0.030305618458304765,4.499117854894766e-06,True
China vs Canada,China,Canada,0.3599609439926488,0.1164088640542816,0.07215096144790878,4.3104863150632125e-06,10,70,0.02857142857142857,-1.5457549788712641,0.04112719294129237,1.2931458945189639e-05,True
China vs Australia,China,Australia,0.4755998957370008,0.1623749397999589,0.1006410303613167,6.745314288242075e-06,10,70,0.02857142857142857,-1.7791983551071358,0.04950521577761465,1.618875429178098e-05,True
China vs Indonesia,China,Indonesia,0.5805803640612535,0.18509248512089355,0.11472151082951855,3.828282841621074e-06,10,70,0.02857142857142857,-1.2068095826273617,0.06870634342899093,1.2528925663487152e-05,True
United States vs France,United States,France,0.6145943181930176,0.17621815883223219,0.1092211464102695,1.574521655553652e-06,10,70,0.05714285714285714,3.482043803806508,0.08215992479163588,8.097539942847354e-06,True
Canada vs Indonesia,Canada,Indonesia,0.6205636112817696,0.16296953688723337,0.101009565454151,7.476807424094719e-07,10,70,0.04285714285714286,0.9084072243141625,0.05567505676526366,4.499117854894766e-06,True
France vs Venezuela,France,Venezuela,0.6340261877647467,0.31798992371602847,0.19709219665746538,0.00014012830839200046,10,70,0.0,1.1851981277005896,0.09769253360218093,0.0002522309551056008,True
Japan vs Venezuela,Japan,Venezuela,1.0738979001130378,0.3973843512907328,0.24630137269108876,1.3015412785801442e-05,10,70,0.02857142857142857,1.921170592585778,0.08717840866315842,2.7562050605226584e-05,True
China vs Venezuela,China,Venezuela,1.1627511697156088,0.2578865991675562,0.15983977015525458,1.7513013936707674e-07,10,70,0.05714285714285714,-0.15243434465145192,0.08879781677575212,1.5761712543036907e-06,True
