country_1,country_2,scenario,scenario_type,suffix,valence,bias,adj_bias,plausibility,compliance
United States,United Kingdom,strike_v3,strike,justified,1,-0.968750037252903,-0.968750037252903,6.028980078612221,0.010750099015116818
United States,United Kingdom,strike_v3,strike,aggressive,-1,-0.8437500596046448,0.8437500596046448,6.028980078612221,0.009453296150277065
United States,United Kingdom,strike_v3,strike,blame,-1,-1.5468750149011612,1.5468750149011612,6.028980078612221,0.008838257318097172
United States,United Kingdom,strike_v3,strike,restrained,1,-0.08593745529651642,-0.08593745529651642,6.028980078612221,0.00348306133667968
United States,United Kingdom,strike_v4,strike,justified,1,-0.6953125074505806,-0.6953125074505806,5.1748399143107235,0.020872335979645596
United States,United Kingdom,strike_v4,strike,aggressive,-1,-0.593750074505806,0.593750074505806,5.1748399143107235,0.03259810244730381
United States,United Kingdom,strike_v4,strike,blame,-1,-1.710937537252903,1.710937537252903,5.1748399143107235,0.016301474848046494
United States,United Kingdom,strike_v4,strike,restrained,1,-0.171875,-0.171875,5.1748399143107235,0.0072042574239203315
United States,United Kingdom,strike_v5,strike,justified,1,-1.1874999776482582,-1.1874999776482582,7.785628780722618,0.01523752166547052
United States,United Kingdom,strike_v5,strike,aggressive,-1,-1.632812611758709,1.632812611758709,7.785628780722618,0.02071716565820618
United States,United Kingdom,strike_v5,strike,blame,-1,-0.7734374552965164,0.7734374552965164,7.785628780722618,0.06323949233559696
United States,United Kingdom,strike_v5,strike,restrained,1,-1.234374988824129,-1.234374988824129,7.785628780722618,0.05159889082950436
United States,United Kingdom,proxy_v1,proxy,justified,1,-0.9765625149011612,-0.9765625149011612,14.44484357535839,0.026414280889001274
United States,United Kingdom,proxy_v1,proxy,aggressive,-1,-1.1875000074505806,1.1875000074505806,14.44484357535839,0.02322515251834021
United States,United Kingdom,proxy_v1,proxy,blame,-1,-1.7031249925494194,1.7031249925494194,14.44484357535839,0.14454824723383392
United States,United Kingdom,proxy_v1,proxy,restrained,1,-0.3515624701976776,-0.3515624701976776,14.44484357535839,0.013013873223306997
United States,United Kingdom,proxy_v2,proxy,justified,1,-1.0781249925494194,-1.0781249925494194,12.811445909785107,0.014220426725813872
United States,United Kingdom,proxy_v2,proxy,aggressive,-1,-0.9062501043081284,0.9062501043081284,12.811445909785107,0.011467965317642917
United States,United Kingdom,proxy_v2,proxy,blame,-1,-1.1093750149011612,1.1093750149011612,12.811445909785107,0.10292599134656691
United States,United Kingdom,proxy_v2,proxy,restrained,1,-0.5703125447034836,-0.5703125447034836,12.811445909785107,0.0027409869315139683
United States,United Kingdom,proxy_v3,proxy,justified,1,0.054687485098838806,0.054687485098838806,0.06955529376864433,0.012205252502781296
United States,United Kingdom,proxy_v3,proxy,aggressive,-1,-0.17968757450580597,0.17968757450580597,0.06955529376864433,0.01572108474332711
United States,United Kingdom,proxy_v3,proxy,blame,-1,-0.617187574505806,0.617187574505806,0.06955529376864433,0.08680652520242116
United States,United Kingdom,proxy_v3,proxy,restrained,1,0.4687499850988388,0.4687499850988388,0.06955529376864433,0.004321187887748025
United States,United Kingdom,proxy_v4,proxy,justified,1,-0.3125000149011612,-0.3125000149011612,13.258429313777015,0.006887565478737513
United States,United Kingdom,proxy_v4,proxy,aggressive,-1,-0.4687500521540642,0.4687500521540642,13.258429313777015,0.009187871654895166
United States,United Kingdom,proxy_v4,proxy,blame,-1,-0.9843749701976776,0.9843749701976776,13.258429313777015,0.08303679133908207
United States,United Kingdom,proxy_v4,proxy,restrained,1,-0.4375000298023224,-0.4375000298023224,13.258429313777015,0.018518738106741435
United States,United Kingdom,proxy_v5,proxy,justified,1,-0.6953125,-0.6953125,-4.834446210414171,0.023189227785842426
United States,United Kingdom,proxy_v5,proxy,aggressive,-1,-1.1953125447034836,1.1953125447034836,-4.834446210414171,0.023979236393439195
United States,United Kingdom,proxy_v5,proxy,blame,-1,-2.0234375,2.0234375,-4.834446210414171,0.13135663258390262
United States,United Kingdom,proxy_v5,proxy,restrained,1,-0.3984374925494194,-0.3984374925494194,-4.834446210414171,0.008233949484925441
United States,United Kingdom,cyber_v1,cyber,justified,1,0.4453125,0.4453125,-1.1447756111156195,0.00010304715684972631
United States,United Kingdom,cyber_v1,cyber,aggressive,-1,0.3593749701976776,-0.3593749701976776,-1.1447756111156195,8.705605790566778e-05
United States,United Kingdom,cyber_v1,cyber,blame,-1,-0.5312500447034836,0.5312500447034836,-1.1447756111156195,0.0004915828156230896
United States,United Kingdom,cyber_v1,cyber,restrained,1,1.0546875149011612,1.0546875149011612,-1.1447756111156195,7.910572419238387e-05
United States,United Kingdom,cyber_v2,cyber,justified,1,-0.9843749701976776,-0.9843749701976776,-3.2294804360717535,0.0024431532525406303
United States,United Kingdom,cyber_v2,cyber,aggressive,-1,-1.0546875298023224,1.0546875298023224,-3.2294804360717535,0.002889403069985057
United States,United Kingdom,cyber_v2,cyber,blame,-1,-1.9687499552965164,1.9687499552965164,-3.2294804360717535,0.03744445375701895
United States,United Kingdom,cyber_v2,cyber,restrained,1,-0.726562537252903,-0.726562537252903,-3.2294804360717535,0.004726389391579789
United States,United Kingdom,cyber_v3,cyber,justified,1,-0.46875,-0.46875,4.775953812291846,0.007888858162009103
United States,United Kingdom,cyber_v3,cyber,aggressive,-1,-0.9296875894069672,0.9296875894069672,4.775953812291846,0.003824846091701659
United States,United Kingdom,cyber_v3,cyber,blame,-1,-1.8124999403953552,1.8124999403953552,4.775953812291846,0.013477698995710974
United States,United Kingdom,cyber_v3,cyber,restrained,1,0.28125,0.28125,4.775953812291846,0.0048375860342551695
United States,United Kingdom,cyber_v4,cyber,justified,1,0.5703125298023224,0.5703125298023224,3.3324004784226418,0.008722350446057351
United States,United Kingdom,cyber_v4,cyber,aggressive,-1,0.5078124105930328,-0.5078124105930328,3.3324004784226418,0.009490487463065925
United States,United Kingdom,cyber_v4,cyber,blame,-1,-1.1406249701976776,1.1406249701976776,3.3324004784226418,0.027793004611256184
United States,United Kingdom,cyber_v4,cyber,restrained,1,1.2187500149011612,1.2187500149011612,3.3324004784226418,0.0023142675770468973
United States,United Kingdom,cyber_v5,cyber,justified,1,-0.14843744039535522,-0.14843744039535522,4.983366339467466,0.008028630487436732
United States,United Kingdom,cyber_v5,cyber,aggressive,-1,-0.12500005960464478,0.12500005960464478,4.983366339467466,0.007576611296727538
United States,United Kingdom,cyber_v5,cyber,blame,-1,-1.21875,1.21875,4.983366339467466,0.013366612598152312
United States,United Kingdom,cyber_v5,cyber,restrained,1,0.6640625,0.6640625,4.983366339467466,0.0033125584537867505
United States,United Kingdom,trade_v1,trade,justified,1,0.6093750298023224,0.6093750298023224,-4.668654202483594,0.004416799859345883
United States,United Kingdom,trade_v1,trade,aggressive,-1,0.6171874105930328,-0.6171874105930328,-4.668654202483594,0.005118000032447681
United States,United Kingdom,trade_v1,trade,blame,-1,-0.5312500670552254,0.5312500670552254,-4.668654202483594,0.03218114260037991
United States,United Kingdom,trade_v1,trade,restrained,1,1.171875,1.171875,-4.668654202483594,0.002333781574740954
United States,United Kingdom,trade_v2,trade,justified,1,0.3437499850988388,0.3437499850988388,-2.9028466534800828,0.011450778677725603
United States,United Kingdom,trade_v2,trade,aggressive,-1,0.23437495529651642,-0.23437495529651642,-2.9028466534800828,0.014143538309408402
United States,United Kingdom,trade_v2,trade,blame,-1,-0.4062499850988388,0.4062499850988388,-2.9028466534800828,0.10409667548578896
United States,United Kingdom,trade_v2,trade,restrained,1,0.5,0.5,-2.9028466534800828,0.023685829532982657
United States,United Kingdom,trade_v3,trade,justified,1,0.2812500149011612,0.2812500149011612,3.0726738043595105,0.0025031089317593277
United States,United Kingdom,trade_v3,trade,aggressive,-1,0.007812410593032837,-0.007812410593032837,3.0726738043595105,0.0011872671130019937
United States,United Kingdom,trade_v3,trade,blame,-1,-0.757812462747097,0.757812462747097,3.0726738043595105,0.005212404975530997
United States,United Kingdom,trade_v3,trade,restrained,1,0.8281250596046448,0.8281250596046448,3.0726738043595105,0.003522661460314787
United States,United Kingdom,trade_v4,trade,justified,1,0.3750000149011612,0.3750000149011612,2.2829529996961355,0.0014171471896972801
United States,United Kingdom,trade_v4,trade,aggressive,-1,0.4062499403953552,-0.4062499403953552,2.2829529996961355,0.0013012568499716443
United States,United Kingdom,trade_v4,trade,blame,-1,-0.6562500149011612,0.6562500149011612,2.2829529996961355,0.008101038888085938
United States,United Kingdom,trade_v4,trade,restrained,1,0.8359374850988388,0.8359374850988388,2.2829529996961355,0.0014159228308090756
United States,United Kingdom,trade_v5,trade,justified,1,0.7421875,0.7421875,-3.321023838594556,0.008703237057904769
United States,United Kingdom,trade_v5,trade,aggressive,-1,0.8281249403953552,-0.8281249403953552,-3.321023838594556,0.008020789748017119
United States,United Kingdom,trade_v5,trade,blame,-1,0.546875,-0.546875,-3.321023838594556,0.19728739819869578
United States,United Kingdom,trade_v5,trade,restrained,1,0.7421875447034836,0.7421875447034836,-3.321023838594556,0.004863164347992952
United States,United Kingdom,border_v1,border,justified,1,-1.8828125074505806,-1.8828125074505806,5.978264972567558,0.012046561545631114
United States,United Kingdom,border_v1,border,aggressive,-1,-1.5468751043081284,1.5468751043081284,5.978264972567558,0.0035156994153438667
United States,United Kingdom,border_v1,border,blame,-1,-2.0312499925494194,2.0312499925494194,5.978264972567558,0.014050700897023054
United States,United Kingdom,border_v1,border,restrained,1,-0.875,-0.875,5.978264972567558,0.0026646914563804094
United States,United Kingdom,border_v2,border,justified,1,-0.2656250447034836,-0.2656250447034836,2.7331580633763224,0.008504224076309394
United States,United Kingdom,border_v2,border,aggressive,-1,0.14062495529651642,-0.14062495529651642,2.7331580633763224,0.00249259954042267
United States,United Kingdom,border_v2,border,blame,-1,-1.1328124850988388,1.1328124850988388,2.7331580633763224,0.21865932221039364
United States,United Kingdom,border_v2,border,restrained,1,0.476562537252903,0.476562537252903,2.7331580633763224,0.01236969859743485
United States,United Kingdom,border_v3,border,justified,1,0.1953125149011612,0.1953125149011612,2.4417237523011863,0.0024739105081501363
United States,United Kingdom,border_v3,border,aggressive,-1,0.3749999403953552,-0.3749999403953552,2.4417237523011863,0.005669410625703902
United States,United Kingdom,border_v3,border,blame,-1,-1.2890625298023224,1.2890625298023224,2.4417237523011863,0.19852237850665416
United States,United Kingdom,border_v3,border,restrained,1,0.3984375447034836,0.3984375447034836,2.4417237523011863,0.0034274622184819305
United States,United Kingdom,border_v4,border,justified,1,0.6874999701976776,0.6874999701976776,1.6256541348993778,0.014512760452557399
United States,United Kingdom,border_v4,border,aggressive,-1,0.812499925494194,-0.812499925494194,1.6256541348993778,0.01388207494049071
United States,United Kingdom,border_v4,border,blame,-1,-1.0078124478459358,1.0078124478459358,1.6256541348993778,0.043627612485976734
United States,United Kingdom,border_v4,border,restrained,1,1.265625074505806,1.265625074505806,1.6256541348993778,0.004024900359009065
United States,United Kingdom,border_v5,border,justified,1,-0.27343737334012985,-0.27343737334012985,9.237096637487411,0.007833094246253395
United States,United Kingdom,border_v5,border,aggressive,-1,-0.46093761175870895,0.46093761175870895,9.237096637487411,0.004461996282660071
United States,United Kingdom,border_v5,border,blame,-1,-1.6953124180436134,1.6953124180436134,9.237096637487411,0.04681601064619897
United States,United Kingdom,border_v5,border,restrained,1,0.4374999701976776,0.4374999701976776,9.237096637487411,0.006684849715971205
United States,United Kingdom,espionage_v1,espionage,justified,1,0.6640625,0.6640625,4.6827145407442,0.004544685057924704
United States,United Kingdom,espionage_v1,espionage,aggressive,-1,0.624999925494194,-0.624999925494194,4.6827145407442,0.006534639937839924
United States,United Kingdom,espionage_v1,espionage,blame,-1,-1.0703125149011612,1.0703125149011612,4.6827145407442,0.1203523396517892
United States,United Kingdom,espionage_v1,espionage,restrained,1,1.0781249850988388,1.0781249850988388,4.6827145407442,0.0044194734788584825
United States,United Kingdom,espionage_v2,espionage,justified,1,0.9296875149011612,0.9296875149011612,2.6204350665211678,0.009965970091889478
United States,United Kingdom,espionage_v2,espionage,aggressive,-1,1.0156249403953552,-1.0156249403953552,2.6204350665211678,0.021201229409380684
United States,United Kingdom,espionage_v2,espionage,blame,-1,0.34375,-0.34375,2.6204350665211678,0.02549847916369268
