country_1,country_2,scenario,scenario_type,suffix,valence,bias,adj_bias,plausibility,compliance
United States,United Kingdom,maritime_v2,maritime,aggressive,-1,-0.007812529802322388,0.007812529802322388,3.098361510783434,0.004672742546765203
United States,United Kingdom,maritime_v2,maritime,blame,-1,0.2421875,-0.2421875,3.098361510783434,0.17357002615335812
United States,United Kingdom,maritime_v2,maritime,restrained,1,-0.039062514901161194,-0.039062514901161194,3.098361510783434,0.004094678383535451
United States,United Kingdom,maritime_v3,maritime,justified,1,-0.6796875894069672,-0.6796875894069672,-2.2000178396701813,0.0343238663193844
United States,United Kingdom,maritime_v3,maritime,aggressive,-1,-0.390625,0.390625,-2.2000178396701813,0.006896562655150054
United States,United Kingdom,maritime_v3,maritime,blame,-1,-0.3359374850988388,0.3359374850988388,-2.2000178396701813,0.2289891206465907
United States,United Kingdom,maritime_v3,maritime,restrained,1,-1.7656250521540642,-1.7656250521540642,-2.2000178396701813,0.008174154139806091
United States,United Kingdom,maritime_v4,maritime,justified,1,-0.8046876043081284,-0.8046876043081284,0.3748377888696268,0.01954768095525267
United States,United Kingdom,maritime_v4,maritime,aggressive,-1,-2.218750074505806,2.218750074505806,0.3748377888696268,0.001853856704162122
United States,United Kingdom,maritime_v4,maritime,blame,-1,-1.8515625298023224,1.8515625298023224,0.3748377888696268,0.11902697882073662
United States,United Kingdom,maritime_v4,maritime,restrained,1,-1.2656250149011612,-1.2656250149011612,0.3748377888696268,0.0040604615256861366
United States,United Kingdom,maritime_v5,maritime,justified,1,0.07812488824129105,0.07812488824129105,4.5614923648536205,0.01144290978850366
United States,United Kingdom,maritime_v5,maritime,aggressive,-1,-0.04687497019767761,0.04687497019767761,4.5614923648536205,0.00042218623133148935
United States,United Kingdom,maritime_v5,maritime,blame,-1,-1.0937500298023224,1.0937500298023224,4.5614923648536205,0.23749258325618516
United States,United Kingdom,maritime_v5,maritime,restrained,1,0.023437518626451492,0.023437518626451492,4.5614923648536205,0.0005206905831663922
United States,United Kingdom,strike_v1,strike,justified,1,0.17968745529651642,0.17968745529651642,4.58726167306304,0.07347884067665411
United States,United Kingdom,strike_v1,strike,aggressive,-1,-0.3671875074505806,0.3671875074505806,4.58726167306304,0.07516202226194815
United States,United Kingdom,strike_v1,strike,blame,-1,-0.5625000149011612,0.5625000149011612,4.58726167306304,0.32497078243928035
United States,United Kingdom,strike_v1,strike,restrained,1,-0.531250074505806,-0.531250074505806,4.58726167306304,0.09685869320606116
