pair,country_1,country_2,mean_bias,std,ci95,p_value,n_clusters,n_scenarios,consistency,plausibility,compliance,p_adjusted,significant
United States vs Indonesia,United States,Indonesia,-0.26731825058481523,0.13766745176895714,0.08532717062321107,0.00017068596189589793,10,70,0.0,4.817698845756721,0.08368104510186034,0.00021945337958044017,True
United States vs Venezuela,United States,Venezuela,-0.2399188343435526,0.14938222725110262,0.09258806369222215,0.0006638668024660724,10,70,0.0,4.59251994670259,0.11462470645692101,0.0007468501527743315,True
United States vs Australia,United States,Australia,-0.22719722584422147,0.13103099262886925,0.08121385063287231,0.0003885811332772836,10,70,0.0,2.945571192518147,0.14640410868955517,0.0004662973599327403,True
Canada vs Indonesia,Canada,Indonesia,-0.19905200025865008,0.18497189817000215,0.11464677026301985,0.007836112119292778,10,70,0.02857142857142857,3.0500298671331687,0.09088723560187462,0.008548485948319393,True
Canada vs Australia,Canada,Australia,0.007865591560091294,0.08037360990997552,0.049816079532739074,0.7640093832916695,10,70,0.0,0.6401414475715294,0.15389288124360503,0.7640093832916695,False
Australia vs Indonesia,Australia,Indonesia,0.015311473395143233,0.09924044746718723,0.06150986660207755,0.6372881102937948,10,70,0.04285714285714286,1.9529274088238253,0.14226690368762182,0.6554963420164748,False
France vs Australia,France,Australia,0.13213258747543608,0.12588798492034722,0.07802618142985665,0.008952563535353696,10,70,0.0,0.35565279917160686,0.16442063347220628,0.009479184919786266,True
China vs Venezuela,China,Venezuela,0.1818048962524959,0.10719198290066714,0.0664382793236824,0.00045425832010507317,10,70,0.05714285714285714,2.604896511829936,0.15247976354968867,0.0005275257910897624,True
United States vs United Kingdom,United States,United Kingdom,0.19555063660123517,0.06264744827327232,0.038829290723660134,3.986602761650896e-06,10,70,0.0,1.3933060050442627,0.012705900180453129,5.9799041424763435e-06,True
France vs Canada,France,Canada,0.22509249555213112,0.05821629614779568,0.036082834182120466,6.563232988369586e-07,10,70,0.04285714285714286,-0.2669177547422091,0.1537773951159456,1.0272886416578484e-06,True
Japan vs Indonesia,Japan,Indonesia,0.24329296946525575,0.12652750036643595,0.07842255720992246,0.00018352393683330776,10,70,0.02857142857142857,2.3195114074226826,0.10392781850476769,0.00022782281813789928,True
Japan vs Canada,Japan,Canada,0.5036114288227899,0.0766403046576597,0.04750215296433351,6.478427460279654e-09,10,70,0.014285714285714285,-0.6534037300623563,0.17134628254083206,2.3322338857006754e-08,True
China vs Japan,China,Japan,0.5052720785140992,0.06334242364968415,0.039260040924670205,1.1626238841224587e-09,10,70,0.05714285714285714,0.26225526732952986,0.23591888549565018,6.966811055556235e-09,True
Japan vs Australia,Japan,Australia,0.5077147617936134,0.08793536367829258,0.054502903075334716,2.0250042396604857e-08,10,70,0.0,-0.0798708374232904,0.2000754074052232,5.2071537591269634e-08,True
Venezuela vs Canada,Venezuela,Canada,0.9163333679948534,0.16705648701429668,0.10354268338681778,3.1752832624384255e-08,10,70,0.07142857142857142,-2.7039637998897237,0.15310294048233203,7.144387340486457e-08,True
China vs Indonesia,China,Indonesia,0.9380993212972368,0.0742679212082535,0.04603173446838506,1.922421789991089e-11,10,70,0.18571428571428572,2.3967073543149,0.13176995922075654,3.46035922198396e-10,True
China vs Canada,China,Canada,0.939616259932518,0.09075292367168661,0.05624924485190036,1.1381687247339858e-10,10,70,0.11428571428571428,-0.44959425857824237,0.15040714498970092,1.365802469680783e-09,True
China vs Australia,China,Australia,0.976343442925385,0.07033335738919662,0.04359306654795304,8.253167767894702e-12,10,70,0.02857142857142857,0.18489364216686358,0.2049299794783446,2.971140396442093e-10,True
Venezuela vs Indonesia,Venezuela,Indonesia,0.9930753237434796,0.10320782740326524,0.06396887416256447,2.1890539929871856e-10,10,70,0.02857142857142857,-0.6967804939299185,0.12113723486831553,1.970148593688467e-09,True
Venezuela vs Australia,Venezuela,Australia,1.3007461492504393,0.2119613677124755,0.1313750167954357,1.1843532815035323e-08,10,70,0.18571428571428572,-2.430247437911898,0.12737390764955958,3.876065284920651e-08,True
