pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Australia,China,Australia,justified,-0.34411493328573933,0.3953974646013058,0.11377165857107069,13,79,0.14060069874926365,False
Australia vs Indonesia,Australia,Indonesia,justified,0.09066699821870405,0.17308130978277528,0.3248008971171908,13,79,0.38699681358644006,False
USA vs Venezuela,USA,Venezuela,justified,0.16089033076178022,0.34675106289901825,0.38102758322732216,13,79,0.44453218043187587,False
France vs Venezuela,France,Venezuela,justified,0.41501113821516983,0.4200093150458529,0.07668629671222912,13,79,0.09987052595081002,False
China vs Venezuela,China,Venezuela,justified,0.5858309809869026,0.32946182850558053,0.004503295040061228,13,79,0.009006590080122456,True
Canada vs Australia,Canada,Australia,justified,0.8783544962782237,0.19786425646625486,1.5755738453741525e-06,13,79,9.803570593439172e-06,True
China vs Japan,China,Japan,justified,0.8983221348825392,0.338316753042357,0.00022032462836692518,13,79,0.0005608263267521732,True
Japan vs Venezuela,Japan,Venezuela,justified,1.2474616122032915,0.28448606163880946,1.7915968287937186e-06,13,79,1.0032942241244824e-05,True
Canada vs Indonesia,Canada,Indonesia,justified,1.5047086148417042,0.1983588044152289,4.29912132345808e-09,13,79,6.018769852841313e-08,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-1.1430328290213596,0.41969288754750605,0.00017701375817647669,13,79,0.0004956385228941347,True
Venezuela vs Canada,Venezuela,Canada,unjustified,-0.67130761398446,0.4402087220610696,0.01129624957798545,13,79,0.0204061282699092,True
China vs Japan,China,Japan,unjustified,-0.420914952325952,0.31409163674749874,0.02211395758500806,13,79,0.0353823321360129,True
Japan vs Canada,Japan,Canada,unjustified,-0.38386972606072933,0.2640455726962028,0.014637710227787922,13,79,0.024839750689579502,True
Australia vs Indonesia,Australia,Indonesia,unjustified,-0.3273960548852171,0.24952007329004375,0.024467886151106455,13,79,0.03703247633680977,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.291371837258339,0.20497372320202645,0.016461445659752584,13,79,0.027112969321945433,True
Japan vs Australia,Japan,Australia,unjustified,-0.16322986172996595,0.1853953286421585,0.11003967146232137,13,79,0.14005049095204536,False
France vs Venezuela,France,Venezuela,unjustified,-0.15144075415073296,0.51144496377335,0.5724069946115922,13,79,0.6410958339649833,False
China vs Australia,China,Australia,unjustified,-0.03475689085630269,0.20670571900878948,0.7474081869879707,13,79,0.7897143107797426,False
China vs Indonesia,China,Indonesia,unjustified,-0.03057230828882575,0.3269087263143791,0.8576247700428731,13,79,0.8576247700428731,False
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.037565765083654876,0.31305496023805196,0.81802322296764,13,79,0.8393516215769841,False
Venezuela vs Australia,Venezuela,Australia,unjustified,0.046550664006844995,0.40221115246001216,0.8243631997631093,13,79,0.8393516215769841,False
France vs China,France,China,unjustified,0.05716077871484196,0.29649206586509813,0.712127036213856,13,79,0.7669060389995372,False
France vs Canada,France,Canada,unjustified,0.06030644238977642,0.18225003207835,0.5288371049712682,13,79,0.6043852628243065,False
China vs Venezuela,China,Venezuela,unjustified,0.07949957287027723,0.35800045345773157,0.6711074083193339,13,79,0.7369022522722097,False
Canada vs Australia,Canada,Australia,unjustified,0.22202856508475957,0.25646632801440356,0.11549343111546656,13,79,0.14060069874926365,False
China vs Canada,China,Canada,unjustified,0.268342800056323,0.22598932631439883,0.03825523381716622,13,79,0.053557327344032714,False
France vs Japan,France,Japan,unjustified,0.35669145457473866,0.27051821278287763,0.023905201573416742,13,79,0.03703247633680977,True
France vs Indonesia,France,Indonesia,unjustified,0.38552565378692993,0.3801721467365647,0.07016366732570102,13,79,0.09355155643426803,False
France vs Australia,France,Australia,unjustified,0.41337481757878386,0.22696311292096844,0.003853754506995536,13,79,0.008300394322759615,True
USA vs Indonesia,USA,Indonesia,unjustified,0.5282264845548095,0.3089434472967042,0.0057675779375929975,13,79,0.011137391879489925,True
USA vs France,USA,France,unjustified,0.5652839683896892,0.1774885393146412,4.303131700399596e-05,13,79,0.00013387520845687631,True
USA vs Australia,USA,Australia,unjustified,0.6644993753824042,0.243316173389988,0.0001728245941912114,13,79,0.0004956385228941347,True
USA vs China,USA,China,unjustified,0.7099203229387165,0.16402122520145188,2.052103772447519e-06,13,79,1.0447073750641916e-05,True
Canada vs Indonesia,Canada,Indonesia,unjustified,0.7351731397211553,0.27518315572592195,0.00020904687780285436,13,79,0.0005574583408076117,True
USA vs Venezuela,USA,Venezuela,unjustified,0.9247103022486518,0.4852433249573739,0.0028473071271587704,13,79,0.006377967964835645,True
USA vs Japan,USA,Japan,unjustified,1.05073104367588,0.28953691090462735,1.2256576490797347e-05,13,79,4.289801771779072e-05,True
USA vs Canada,USA,Canada,unjustified,1.2581690451873964,0.22173857094943386,1.1230551815935446e-07,13,79,8.984441452748357e-07,True
